case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,metric,old_value,new_value,delta,direction,metric_orientation
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,completeness,1.0,1.0,0.0,tie,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,v_measure,0.0,1.0,1.0,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,fowlkes_mallows,0.43495883620084,1.0,0.5650411637991599,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,macro_recall,0.2,1.0,0.8,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,macro_f1,0.0666666666666666,1.0,0.9333333333333333,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,worst_cluster_recall,0.0,1.0,1.0,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,median_cluster_size,75.0,15.0,-60.0,descriptive_delta,descriptive
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,largest_cluster_fraction,1.0,0.2,-0.8,descriptive_delta,descriptive
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,effective_cluster_count,1.0,5.000000000000001,4.000000000000001,descriptive_delta,descriptive
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,cluster_size_entropy,-0.0,1.6094379124341005,1.6094379124341005,descriptive_delta,descriptive
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,cluster_size_gini,0.0,0.0,0.0,tie,lower_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,noise_label_fraction,0.0,0.0,0.0,tie,lower_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,cluster_count_abs_error,4.0,0.0,-4.0,improved,lower_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,over_split,0.0,0.0,0.0,tie,lower_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,under_split,1.0,0.0,-1.0,improved,lower_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,ari,0.0,1.0,1.0,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,nmi,0.0,1.0,1.0,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,ami,0.0,1.0,1.0,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,purity,0.3333333333333333,1.0,0.6666666666666667,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,homogeneity,0.0,1.0,1.0,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,completeness,1.0,1.0,0.0,tie,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,v_measure,0.0,1.0,1.0,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,fowlkes_mallows,0.5674803065350239,1.0,0.4325196934649761,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,macro_recall,0.3333333333333333,1.0,0.6666666666666667,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,macro_f1,0.1666666666666666,1.0,0.8333333333333334,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,worst_cluster_recall,0.0,1.0,1.0,improved,higher_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,median_cluster_size,60.0,20.0,-40.0,descriptive_delta,descriptive
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,largest_cluster_fraction,1.0,0.3333333333333333,-0.6666666666666667,descriptive_delta,descriptive
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,effective_cluster_count,1.0,2.9999999999999996,1.9999999999999996,descriptive_delta,descriptive
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,cluster_size_entropy,-0.0,1.0986122886681096,1.0986122886681096,descriptive_delta,descriptive
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,cluster_size_gini,0.0,0.0,0.0,tie,lower_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,noise_label_fraction,0.0,0.0,0.0,tie,lower_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,cluster_count_abs_error,2.0,0.0,-2.0,improved,lower_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,over_split,0.0,0.0,0.0,tie,lower_better
gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,60,40,3,1,3,under_split,1.0,0.0,-1.0,improved,lower_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,ari,0.0,1.0,1.0,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,nmi,0.0,1.0,1.0,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,ami,0.0,1.0,1.0,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,purity,0.125,1.0,0.875,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,homogeneity,0.0,1.0,1.0,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,completeness,1.0,1.0,0.0,tie,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,v_measure,0.0,1.0,1.0,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,fowlkes_mallows,0.3429971702850177,1.0,0.6570028297149824,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,macro_recall,0.125,1.0,0.875,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,macro_f1,0.0277777777777777,1.0,0.9722222222222223,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,worst_cluster_recall,0.0,1.0,1.0,improved,higher_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,median_cluster_size,120.0,15.0,-105.0,descriptive_delta,descriptive
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,largest_cluster_fraction,1.0,0.125,-0.875,descriptive_delta,descriptive
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,effective_cluster_count,1.0,7.999999999999998,6.999999999999998,descriptive_delta,descriptive
gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,120,80,8,1,8,cluster_size_entropy,-0.0,2.0794415416798357,2.0794415416798357,descriptive_delta,descriptive
