gene,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
ZRSR1,0.012044744858360944,-0.04939559728145843,0.0183233064964134,0.02738943119308319,0.017929139778282015,0.003214831891053712,0.01749091254875192,-0.027301811027303252,0.001979885582988335,0.014096879148502559,0.021429909169899303,0.007239696168845608,-0.027121516982660004,0.0003248943544577719,-0.018801196644098746,0.026056924550244276,-0.0021081987291181616,-0.0033650754263086736
SRRM1,0.01520287688776224,0.021255193774583923,-0.0012506427234496994,-0.01794390922182093,0.010638941890371987,0.016837430013694143,0.018555674547819655,-0.05668128543288229,-0.06233441913618659,-0.05865232629089397,-0.0294448988346152,0.024120352340413594,0.01698025465649538,-0.018697812667282435,0.03660049891623917,-0.0012054835499159529,-0.01671726950869343,0.002319272790068706
ANKRD11,0.15298041269167414,0.14424401952811963,0.03963600347627072,0.16313777001496316,0.06119154249660049,-0.0005688093365119687,-0.14599611569744292,-0.13038298245429453,0.09946677977544634,-0.11614593816196389,-0.08714515532158187,0.03801315038282782,-0.05722378860758196,-0.033119902005280005,-0.07655910957285116,-0.008173401984856962,-0.05245297497881412,0.0997645858891155
CIRSR,-0.004758937702895168,-0.02085039970470888,0.02872150955671823,0.009845071307711967,0.049078600898969704,-0.07871533773207187,0.09231748936665997,-0.03705186889063061,0.0913786847840912,0.09236622744466812,0.04453812586232292,-0.007848547961481657,-0.07190652146423405,0.06323661254878453,-0.1092559331614043,-0.0007382101486163958,-0.19434561012825047,-0.10969769591700802
ZNF207,0.029098308302792242,0.07472827349003137,-0.018266779211820315,0.09463770477650879,0.016639682090513242,-0.15323357167534304,-0.03272187835682247,-0.04844721436312722,-0.02352538157637776,0.006142754637242386,0.028448924149868597,0.04364332245553571,0.026309370624841923,0.005228625816122706,0.00882844585814048,-0.007281457385765019,0.043308928733038134,-0.004876719405160397
U2AF1L4,0.019264007229447953,-0.0511660274350276,0.031907823834224976,0.00039779761671994445,0.10709345793795413,0.11963537617688019,-0.024175046294642653,-0.0002600083475587569,0.0785647568066521,-0.050871484314524484,-0.07252693685240727,-0.023379075900694258,0.015593390384493911,0.04901342160638893,0.11374771571198478,0.05213972624331938,0.13547058143890622,0.06911229209798987
USP37,-0.0019158767261395985,0.019706239413164527,0.07559454555929171,-0.11039595399561877,-0.04071355659931396,-0.022928547608183893,0.046992189775220114,0.05070827633371974,-0.023174369108903317,0.049769628553708,-0.00895307720830844,0.04477750432822352,0.0142411745788962,0.007460831107276595,-0.004292370662081373,-0.06910285779948822,0.015000327727829811,0.05340043635404566
FMO3,-0.022102922747559855,-0.021844300476772934,0.06060886362387414,0.04858302918577908,-0.032625440269533755,-0.046433193829908695,-0.01997335716920347,-0.03914124040216729,0.013505338031077537,0.051213940878843046,-0.0971535434291557,0.11224052730180338,-0.04812299355203877,-0.053197136519553115,0.00590425257252034,-0.01809092248159961,0.02101483312160027,-0.041243837014260196
ADAR,-0.00999490264906971,0.019352983569834503,-0.047939842283729855,-0.01814725336486468,-0.0217100897719982,0.06928433497716875,0.024538315865194973,-0.08142281280768329,0.10012298646142853,0.08224872549326698,-0.01604620419233293,0.014628060872083584,-0.011145553482936653,0.1015891132839566,0.005844432583337502,-0.012345469438242463,0.005342455656240516,0.024052030169385615
SH2B3,-0.007555347060598093,0.01383069872716164,-0.0018549523998226186,0.00961679491694583,-0.06385179778913665,0.0380697497464965,-0.005421303880382111,0.015350888854249777,0.0441657362141905,0.019708825602432343,-0.04168355098418758,0.04814277086395155,0.01784937155406449,-0.05878546502541394,-0.034968936655738414,-0.036657759847300894,-0.048661352992321175,0.019477450692806975
