case_id,test_case,method,status,skip_reason,samples,features,true_clusters,found_clusters,ari,nmi,macro_f1,purity,silhouette_score,calinski_harabasz_index,davies_bouldin_index,cluster_count_abs_error,over_split,under_split,effective_cluster_count,largest_cluster_fraction,tree_build_sec,labels_length
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls_weighted,ok,,400,100,4,5,0.5650099413437926,0.5476387862649529,0.8161518373211922,0.8175,0.01893934747239491,7.633381501432803,5.400356969038951,1.0,1.0,0.0,4.52274138849497,0.29,0.002121417026501149,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls_single,ok,,400,100,4,1,0.0,0.0,0.1138996138996139,0.295,,,,3.0,0.0,1.0,1.0,1.0,0.0016757919802330434,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls_centroid,ok,,400,100,4,1,0.0,0.0,0.1138996138996139,0.295,,,,3.0,0.0,1.0,1.0,1.0,0.001701542001683265,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls_median,ok,,400,100,4,1,0.0,0.0,0.1138996138996139,0.295,,,,3.0,0.0,1.0,1.0,1.0,0.0016165419947355986,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls_ward,ok,,400,100,4,4,0.6039779248930247,0.5770330703638863,0.830034704744007,0.83,0.026485535859230292,9.500490727259926,5.055218221036828,0.0,0.0,0.0,3.979488103704772,0.285,0.0022859169985167682,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ok,,400,100,4,2,0.21295414296541812,0.37253368358068667,0.35242841007242043,0.475,0.024399710910975054,10.324216655312062,4.972930655322003,2.0,0.0,1.0,1.666333102428072,0.7925,11.374358625034802,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls,ok,,400,80,4,4,0.9013124846886037,0.8807296551936105,0.9629543120348023,0.9625,0.06144080867541815,18.854674197139847,3.491618566050064,0.0,0.0,0.0,3.9947534296431706,0.27,0.002193499996792525,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls_complete,ok,,400,80,4,5,0.6673807716705011,0.729292581107896,0.8812863928885479,0.875,0.04591487064403996,13.773898336875781,4.667472936408322,1.0,1.0,0.0,4.964892031532829,0.2175,0.0021928329952061176,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls_weighted,ok,,400,80,4,4,0.8489930468306586,0.8503830522811758,0.9437276835173818,0.9425,0.05989959720229141,18.517736871636775,3.555631266438675,0.0,0.0,0.0,3.9659947177949633,0.305,0.0022937500034458935,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls_single,ok,,400,80,4,1,0.0,0.0,0.1,0.25,,,,3.0,0.0,1.0,1.0,1.0,0.0017422499950043857,400
